bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420030706002,788.0,1161.0,9,0.775193989277,52,4.47889995575,97,8.35486984253,211.0,18.1739879414,402.0,37.9603399433
420030708001,481.0,725.0,12,1.65516996384,44,6.0689702034,45,6.20690011978,152.0,20.9655172414,214.0,30.8357348703
420030708002,607.0,980.0,16,1.63265001774,100,10.2040996552,69,7.04082012177,333.0,33.9795918367,442.0,35.303514377
420030709001,1110.0,1762.0,14,0.794552028179,64,3.63224005699,171,9.70487976074,620.0,35.1872871737,324.0,23.3935018051
420030709002,472.0,787.0,9,1.14357995987,75,9.52985954285,89,11.3087997437,325.0,41.2960609911,300.0,41.3793103448
420030709003,471.0,892.0,1,0.112107999623,19,2.13003993034,115,12.8923997879,335.0,37.5560538117,317.0,46.6863033873
420030709004,840.0,1493.0,14,0.937708973885,101,6.76490020752,93,6.22907018661,819.0,54.8559946417,809.0,49.815270936
420030802001,631.0,1049.0,6,0.571973025799,50,4.7664399147,119,11.3440999985,100.0,9.5328884652,296.0,35.792019347
420030802002,373.0,630.0,9,1.42857003212,56,8.88889026642,85,13.492099762,82.0,13.0158730159,349.0,38.9508928571
420030804001,379.0,667.0,6,0.899550020695,41,6.14693021774,67,10.0450000763,103.0,15.4422788606,331.0,43.899204244
420030804002,446.0,702.0,8,1.13960003853,27,3.84614992142,25,3.56124997139,258.0,36.7521367521,425.0,63.9097744361
420030806001,763.0,1313.0,19,1.44707000256,126,9.59634017944,85,6.4737200737,270.0,20.563594821,290.0,24.5139475909
420030806002,463.0,685.0,12,1.75181996822,45,6.56934022903,42,6.13139009476,121.0,17.6642335766,437.0,40.8411214953
420030807001,517.0,839.0,10,1.19190001488,96,11.442199707,35,4.1716299057,361.0,43.0274135876,266.0,42.2222222222
420030807002,646.0,946.0,7,0.739957988262,34,3.59407997131,60,6.34249019623,342.0,36.1522198732,440.0,56.2659846547
420030809001,600.0,995.0,3,0.301508009434,44,4.42211008072,132,13.2663002014,162.0,16.2814070352,450.0,44.6871896723
420030809002,502.0,772.0,4,0.518135011196,63,8.16061973572,38,4.92227983475,278.0,36.0103626943,357.0,42.1487603306
420030901001,816.0,1308.0,11,0.840978980064,147,11.2384996414,163,12.4617996216,228.0,17.4311926606,825.0,64.5035183737
420030901002,308.0,535.0,7,1.30841004848,55,10.2804002762,52,9.71963024139,91.0,17.0093457944,220.0,45.9290187891
420030902001,504.0,872.0,7,0.802752017975,90,10.321100235,100,11.4679002762,101.0,11.5825688073,347.0,28.3960720131
420030902002,594.0,1062.0,13,1.22411000729,89,8.3804101944,175,16.4783000946,181.0,17.0433145009,257.0,31.9651741294
420030902003,446.0,701.0,1,0.142653003335,40,5.70613002777,262,37.3751983643,63.0,8.98716119829,246.0,42.6343154246
420030903001,672.0,1081.0,10,0.925068974495,80,7.40055990219,129,11.9334001541,191.0,17.6688251619,782.0,69.8214285714
420030903002,307.0,548.0,4,0.729927003384,54,9.8540096283,50,9.1240901947,112.0,20.4379562044,190.0,30.4487179487
420031005001,373.0,824.0,13,1.57766997814,86,10.4369001389,162,19.660200119,573.0,69.5388349515,229.0,25.0547045952
420031005002,590.0,1255.0,12,0.956175029278,205,16.3346996307,114,9.08366012573,909.0,72.4302788845,351.0,30.7086614173
420031011001,711.0,1339.0,19,1.41896998882,234,17.4757003784,90,6.72142982483,493.0,36.8185212845,445.0,38.56152513
420031011002,371.0,641.0,4,0.624024987221,91,14.1965999603,31,4.83619022369,256.0,39.9375975039,343.0,52.3664122137
420031011003,360.0,689.0,9,1.30623996258,92,13.3527002335,69,10.0144996643,185.0,26.8505079826,412.0,57.7840112202
420031014001,547.0,1124.0,23,2.04626011848,159,14.1458997726,128,11.3879003525,159.0,14.1459074733,325.0,26.2944983819
