Block_Group,NO2_Hospital_Admissions_V,NO2_Asthma_Exacerbation_I,NO2_Asthma_Exacerbation_V,O3_Acute_Respiratory_Symptoms_I,O3_Mortality_V,O3_School_Loss_Days_I,O3_School_Loss_Days_V,PM25_Acute_Respiratory_Symptoms_I,PM25_Mortality_V,PM25_Work_Loss_Days_I,PM25_Work_Loss_Days_V,SO2_Asthma_Exacerbation_I,SO2_Asthma_Exacerbation_V,SO2_Hospital_Admissions_V
420035180011,214.60866809,1.62460134414,136.468661432,1.95411416371,12296.1831094,0.649834464307,63.8073645978,1.8348643426,76837.0805272,0.30861521347,51.8446339556,0.452874054386,35.6090399894,176.085968137
420035180012,248.988126067,1.88485603998,158.330400068,2.26715550714,14265.9829047,0.753935369717,74.0290514909,2.12880233736,89146.0762658,0.358054147399,60.1499388169,0.525422682826,41.3134670509,204.294242274
420035180013,171.895848324,1.30126256653,109.3077765,1.56519359111,9848.91638135,0.520500162022,51.1080058623,1.4696776488,61544.4625676,0.247192596633,41.5261760587,0.36274010018,28.5218961166,141.040187893
420035190001,192.153653608,1.15802634417,96.8658384425,1.64367805333,10518.6893907,0.426288534935,41.8573490119,1.54130384864,68607.5747801,0.259239773333,43.5499954914,0.350364260539,27.5487934706,155.73441303
420035190002,197.334366331,1.18924824239,99.4774675851,1.68799375403,10802.286954,0.437781828947,42.9858776476,1.58285940748,70457.3243366,0.266229215203,44.7241600804,0.359810537246,28.2915448165,159.933215602
420035190003,89.1020677142,0.536979370533,44.9169046236,0.762150045957,4877.39727649,0.197666103748,19.4088707867,0.714706887384,31813.5235081,0.120210204917,20.1942542028,0.162464229627,12.774399908,72.2144551584
420035200011,237.677462462,1.33311099943,111.685499178,1.93874659546,12347.5583958,0.515170131735,50.5846492255,1.86364098484,81663.3670251,0.313455304033,52.6577264819,0.39162272688,30.7929056594,191.454760906
420035200012,322.143481934,1.80687312424,151.376387201,2.6277400153,16735.6442373,0.698251732856,68.5614650421,2.52594330868,110684.9641,0.42485131752,71.3712742633,0.530797945815,41.7361147549,259.494117247
420035200021,193.926015447,1.39972373108,117.034278238,1.87560019918,11071.3686146,0.523839387756,51.4358850559,1.80844939514,70804.2481072,0.304172348426,51.0982718132,0.426777455892,33.5570870505,159.909081014
420035200022,207.781562083,1.49973119072,125.396139096,2.05854060005,12274.0829273,0.570138746908,55.9820275677,1.93765820526,75863.0198228,0.325904638706,54.7491049069,0.457273146069,35.9549380437,171.334245035
420035200023,132.056993924,0.953164060141,79.6963467461,1.30830945024,7800.80831663,0.362350758339,35.5792870639,1.23149227934,48215.2749879,0.207130981758,34.796178093,0.290620872964,22.851230303,108.892623257
420035211001,127.337486866,1.29849408942,109.313142958,1.44194057185,9089.50412783,0.638172583268,62.6622823829,1.37718310678,53183.8847681,0.231635466786,38.9127154544,0.43043719661,33.8448446559,130.361835494
420035211002,144.754101376,1.4760959218,124.26447362,1.63916233037,10332.7231781,0.725458787412,71.2329306928,1.5655476479,60458.1230302,0.263317461862,44.2350112001,0.48931034472,38.4739811894,148.192105994
420035211003,303.49029802,3.09478568419,260.533142113,3.43666977747,21663.6191273,1.52099367995,149.346646933,3.28231030008,126755.848161,0.552068548294,92.7426470098,1.02588553967,80.6643540776,310.69802526
420035212001,265.682154056,1.95290559259,163.877198744,2.63167829617,15371.7787327,0.742152570189,72.8720962694,2.5329340999,95640.6450962,0.426027134432,71.568801134,0.555785429824,43.7008525503,219.797798596
420035212002,79.1750730052,0.58197914217,48.8365173846,0.784299845627,4581.09342207,0.221173972834,21.7171127448,0.754830693669,28501.5289121,0.126958833006,21.3279642005,0.165628308225,13.0231892064,65.5011785288
420035212003,247.987969592,1.82284412476,152.963145021,2.45654582264,14348.6728304,0.69275085471,68.0213328133,2.36424149532,89271.0085842,0.397653862923,66.8023417656,0.518772540668,40.7905689072,205.159399279
420035213011,37.2060835447,0.237987687415,19.9542972672,0.357231930056,2418.60251343,0.113874412953,11.1813493837,0.341608944747,14809.4676547,0.0574569546963,9.65226163332,0.0856288342824,6.73290927732,37.2483573132
420035213012,98.6151219027,0.630788896109,52.8890767955,0.94684785748,6410.53830981,0.301825822732,29.6363326008,0.90543798154,39252.6446018,0.152290242646,25.5834176035,0.226960164116,17.8456497743,98.7271563
420035213013,153.424408897,0.994755038732,83.3978500387,1.20259889663,8142.00138478,0.383342800257,37.6404994965,1.14993461093,49852.0887333,0.193413380592,32.4917420828,0.288248454228,22.6646892672,125.386658562
420035213014,192.352530412,1.24714560986,104.557665708,1.50772730974,10207.8150739,0.480607436117,47.190931837,1.44170909747,62501.1276046,0.242488423012,40.7359163801,0.36138516037,28.4153543301,157.201149266
420035213021,137.386225085,0.875973505789,73.2507165532,1.57602772884,9444.80557349,0.407605936183,40.0229012397,1.51344572756,58601.6433947,0.25455417354,42.7628560519,0.331574335983,26.0713571727,138.293516636
420035213022,70.4573485055,0.455345587777,38.072688662,0.659861391661,3954.41518394,0.170658604393,16.7569995013,0.633655520608,24535.5708351,0.10657776121,17.9041238947,0.138825243872,10.9156900976,57.9012950878
420035213023,222.748322991,1.4395586157,120.365424266,2.08624102405,12502.2963792,0.539550073423,52.9785201479,2.00327632906,77568.2159716,0.336941286383,56.6031643764,0.438892298094,34.5096648816,183.052669567
420035213024,78.5003573321,0.507325294506,42.4188529342,0.735227706957,4406.02492261,0.190146852017,18.670554091,0.705989502095,27336.391579,0.118743983323,19.9479419066,0.154673297193,12.1618075219,64.5109519688
420035214011,305.371810607,1.89733682659,159.134325099,3.05628692604,19690.2672727,0.901818977081,88.5497698925,2.89358120053,126200.146695,0.486686213886,81.7589914849,0.678457244569,53.3464117854,302.730337657
420035214012,145.979763284,0.907001784908,76.0724792204,1.46102542368,9412.72738151,0.431104960024,42.330274678,1.38324568398,60328.6364321,0.232655162637,39.0840153639,0.324329292316,25.5016865019,144.717017601
420035214021,272.087758804,2.47001663322,208.085423246,2.40667606131,15398.1352411,1.02821123764,100.960249017,2.29433105542,93559.8458667,0.385895268659,64.8270016371,0.648177252289,50.9655301663,225.134452575
420035214022,213.408773262,1.91068125416,160.977248677,2.31215215258,14793.3625616,0.987827512241,96.9949636517,2.20421957645,89885.2165827,0.370738958368,62.2808751829,0.622719631122,48.9638228325,216.292137322
420035214023,194.485886258,1.74126172749,146.703444923,2.10713437283,13481.6399031,0.900237169733,88.3944519403,2.00877215206,81915.1240116,0.337865656948,56.7584504785,0.567503285251,44.6222166895,197.113584622
420035215001,261.57691557,2.14838217052,180.922025575,2.71474091422,17587.3933887,1.05615829129,103.704375313,2.56968806532,108928.328423,0.432208971759,72.6072952828,0.707029291759,55.5930030784,263.288458022
420035215002,283.035213426,2.32462338563,195.763854222,2.93744040825,19030.1444633,1.14279775385,112.211519948,2.78049129792,117864.216036,0.467665045059,78.5636028837,0.765029899588,60.153532907,284.887194287
420035215003,72.041402675,0.591690103173,49.8280866918,0.747671469549,4843.771077,0.290878164482,28.5613800399,0.707722954892,30000.1698662,0.11903554161,19.9969211274,0.194724282001,15.3109748111,72.5127978195
